epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3262,2.02423,3.99874,1.80871,0.00192,0.52273,0.00984,0.00229,2.04793,5.07906,1.33336,0.00038,0.00038,0.00038
2,77.8988,1.81456,2.69044,1.59579,0.00279,0.76136,0.00397,0.00131,2.0911,4.91899,1.32331,0.000764556,0.000764556,0.000764556
3,107.33,1.84996,2.6668,1.63675,0.00242,0.65909,0.00263,0.00094,1.9204,4.70236,1.37025,0.00113327,0.00113327,0.00113327
4,139.577,1.93423,2.60869,1.65693,0.00247,0.61364,0.00279,0.00117,2.03985,5.72416,1.52873,0.00148615,0.00148615,0.00148615
5,173.088,1.91164,2.36528,1.71349,0.00268,0.51136,0.00295,0.00127,2.04396,5.3123,1.48026,0.00182318,0.00182318,0.00182318
6,212.487,1.83627,2.19537,1.65796,0.00633,0.125,0.0028,0.00122,2.30357,8.79846,1.67407,0.001802,0.001802,0.001802
7,251.799,1.79586,2.08096,1.6297,0.01767,0.18182,0.0088,0.0041,1.95732,6.42514,1.4267,0.0017624,0.0017624,0.0017624
8,289.245,1.79295,1.94681,1.54776,0.19584,0.07955,0.05918,0.02323,1.98956,3.53847,1.44028,0.0017228,0.0017228,0.0017228
9,326.047,1.76468,1.83386,1.61054,0.20405,0.18182,0.06939,0.03086,2.1001,3.78678,1.52238,0.0016832,0.0016832,0.0016832
10,366.478,1.72085,1.72943,1.55223,0.13984,0.14773,0.05366,0.02125,2.20438,3.27468,1.58856,0.0016436,0.0016436,0.0016436
11,405.613,1.70625,1.63807,1.55602,0.48877,0.29337,0.24931,0.09558,2.50014,2.46219,1.86925,0.001604,0.001604,0.001604
12,441.42,1.61951,1.50072,1.47664,0.51301,0.40909,0.3674,0.14173,2.15215,2.12047,1.49287,0.0015644,0.0015644,0.0015644
13,494.415,1.66954,1.54043,1.52932,0.62079,0.22727,0.19555,0.08741,2.23539,2.05864,1.57153,0.0015248,0.0015248,0.0015248
14,548.845,1.68779,1.54129,1.53782,0.46657,0.19318,0.17038,0.08512,1.89051,2.50822,1.36439,0.0014852,0.0014852,0.0014852
15,601.878,1.58374,1.48147,1.4699,0.63017,0.25,0.22263,0.10702,1.95612,2.04083,1.38939,0.0014456,0.0014456,0.0014456
16,658.896,1.64327,1.42264,1.47168,0.68229,0.22727,0.21705,0.08422,2.2748,1.95223,1.51962,0.001406,0.001406,0.001406
17,714.092,1.65367,1.32319,1.45162,0.52406,0.17045,0.18011,0.08365,2.29707,1.76379,1.56157,0.0013664,0.0013664,0.0013664
18,770.277,1.5863,1.29592,1.43402,0.51114,0.22727,0.22942,0.08969,2.1516,1.70767,1.49553,0.0013268,0.0013268,0.0013268
19,832.105,1.57117,1.26443,1.45748,0.73364,0.20455,0.21603,0.10012,2.06778,1.69031,1.46599,0.0012872,0.0012872,0.0012872
20,882.093,1.58786,1.23043,1.45372,0.70394,0.18925,0.2041,0.07823,2.16369,1.94745,1.52448,0.0012476,0.0012476,0.0012476
21,940.803,1.61618,1.21062,1.4165,0.65417,0.26136,0.26382,0.11609,1.88524,1.38459,1.36059,0.001208,0.001208,0.001208
22,996.209,1.54246,1.22695,1.37594,0.67791,0.30682,0.3204,0.12846,2.04782,1.72287,1.46556,0.0011684,0.0011684,0.0011684
23,1045.31,1.4797,1.09433,1.36254,0.60105,0.38636,0.38414,0.17356,1.9196,1.58675,1.37143,0.0011288,0.0011288,0.0011288
24,1100.02,1.5524,1.14727,1.37888,0.57502,0.375,0.37521,0.15535,2.05587,1.56796,1.4437,0.0010892,0.0010892,0.0010892
25,1150.5,1.53665,1.17655,1.39948,0.60285,0.38636,0.37056,0.16979,2.005,1.47366,1.44563,0.0010496,0.0010496,0.0010496
26,1202.63,1.49321,1.14027,1.34547,0.67627,0.36364,0.35554,0.14831,2.06126,1.55783,1.44555,0.00101,0.00101,0.00101
27,1252.88,1.44245,1.09936,1.32597,0.79598,0.59091,0.6177,0.28686,1.84873,1.31107,1.33474,0.0009704,0.0009704,0.0009704
28,1298.99,1.45019,1.07502,1.32025,0.74442,0.47727,0.48031,0.22097,2.02069,1.32947,1.44657,0.0009308,0.0009308,0.0009308
29,1344.85,1.42377,1.04572,1.33757,0.6509,0.73864,0.64947,0.29134,1.92458,1.34642,1.38944,0.0008912,0.0008912,0.0008912
30,1389.22,1.40753,1.03433,1.31259,0.64761,0.64739,0.60377,0.2638,1.93584,1.45221,1.36566,0.0008516,0.0008516,0.0008516
31,1426.2,1.44662,1.02466,1.34997,0.62626,0.64773,0.587,0.24519,2.00622,1.41782,1.41235,0.000812,0.000812,0.000812
32,1458.68,1.40035,0.98492,1.32139,0.52111,0.63066,0.53892,0.18846,2.15285,1.6992,1.50764,0.0007724,0.0007724,0.0007724
33,1508,1.41143,1.01887,1.31848,0.66953,0.625,0.62781,0.25986,1.94427,1.41788,1.39411,0.0007328,0.0007328,0.0007328
34,1556.62,1.38245,0.98394,1.32602,0.6291,0.65537,0.6249,0.30201,1.82837,1.53646,1.32988,0.0006932,0.0006932,0.0006932
35,1603.99,1.35814,0.99935,1.30329,0.6765,0.625,0.65301,0.28989,1.85974,1.38856,1.33799,0.0006536,0.0006536,0.0006536
36,1644.28,1.35823,0.9538,1.29223,0.64458,0.69318,0.66606,0.27119,1.98065,1.40984,1.43695,0.000614,0.000614,0.000614
37,1692.41,1.30777,0.92897,1.25212,0.69103,0.70455,0.71656,0.32767,1.83723,1.3681,1.32389,0.0005744,0.0005744,0.0005744
38,1731.22,1.36788,0.9256,1.32141,0.67564,0.67045,0.60796,0.23809,2.14287,1.56252,1.5266,0.0005348,0.0005348,0.0005348
39,1775.17,1.3806,0.90239,1.29928,0.80198,0.59091,0.71599,0.35351,1.78519,1.40473,1.30722,0.0004952,0.0004952,0.0004952
40,1820.66,1.33059,0.89598,1.27652,0.67125,0.59091,0.6208,0.24669,2.03354,1.5372,1.46617,0.0004556,0.0004556,0.0004556
41,1873.04,1.3025,0.8827,1.27087,0.75509,0.57955,0.66264,0.31037,1.85253,1.5689,1.34063,0.000416,0.000416,0.000416
42,1910.47,1.33393,0.86209,1.3026,0.74288,0.62383,0.67943,0.31068,1.91745,1.38266,1.39056,0.0003764,0.0003764,0.0003764
43,1954.77,1.24871,0.79684,1.23041,0.65864,0.68182,0.70126,0.32716,1.85844,1.33227,1.34183,0.0003368,0.0003368,0.0003368
44,1989.43,1.20609,0.78854,1.23656,0.78657,0.67008,0.70985,0.33139,1.81365,1.26876,1.31406,0.0002972,0.0002972,0.0002972
45,2027.93,1.21389,0.79144,1.24226,0.76544,0.65909,0.70648,0.31477,1.87804,1.25489,1.34842,0.0002576,0.0002576,0.0002576
46,2066.86,1.22938,0.79787,1.24199,0.77111,0.65909,0.73516,0.33667,1.84646,1.21325,1.33073,0.000218,0.000218,0.000218
47,2106.61,1.20055,0.78697,1.21306,0.71885,0.64773,0.67965,0.29634,1.93792,1.32952,1.38083,0.0001784,0.0001784,0.0001784
48,2151.9,1.16245,0.75305,1.20504,0.72232,0.65909,0.67297,0.30438,1.9103,1.33895,1.36653,0.0001388,0.0001388,0.0001388
49,2195.63,1.16595,0.75783,1.20979,0.71046,0.66923,0.67647,0.29437,1.93778,1.33358,1.38051,9.92e-05,9.92e-05,9.92e-05
50,2234.81,1.1717,0.75069,1.23198,0.70875,0.6637,0.67511,0.28975,1.97904,1.33968,1.41446,5.96e-05,5.96e-05,5.96e-05
